SLC,6
STL,-3
PBI,0
MIA,-1
CLE,-5
DFW,-1
DFW,15
TPA,2
DFW,-4
FLL,-6
SEA,-8
MCO,-10
JFK,-7
SAT,-5
JAX,-5
EWR,-2
SEA,0
ATL,-5
SAV,0
BNA,-3
MIA,40
TPA,-5
FLL,-5
SLC,-5
EWR,-4
OKC,-6
SCE,-8
ELM,11
SYR,-3
DEN,-5
GRB,-8
BTR,0
DCA,-2
MKE,-3
ASE,11
COS,1
PBI,-2
CLT,2
RKS,-10
MCO,1
SJU,-11
PIH,-7
IAH,55
LAX,-5
BUF,19
DAL,1
HOU,-5
MKE,1
STL,-5
PHL,9
MIA,2
CLE,2
RSW,-3
BOS,-7
SMF,15
DFW,-10
ICT,0
BOS,-6
DFW,7
PDX,-9
SEA,12
SEA,-6
SLC,16
MEM,-4
DFW,0
MOB,-4
RIC,-7
SJC,-1
CMH,-5
MSP,8
DFW,63
SUN,-4
LWS,-8
IDA,-2
LAS,-3
PSP,-9
EWR,44
EWR,-1
ORD,0
EWR,13
AUS,40
BNA,-10
BUR,58
BWI,-1
BWI,-1
FLL,-3
GSP,-2
LAS,-2
MCI,0
PBI,-1
DEN,-1
DEN,18
DEN,15
DFW,46
SAN,15
DFW,0
DFW,-1
DFW,-4
JFK,-2
RIC,-13
MIA,-2
STL,-2
SJU,-3
LIT,7
TYS,236
DFW,0
FAT,-1
TUL,-7
SBP,-2
ASE,12
DEN,11
DEN,1
OKC,-6
EWR,0
DCA,-15
CAE,-11
VEL,96
DEN,9
EWR,-1
DEN,-2
DEN,0
DEN,18
CLT,-3
SLC,6
LGA,-7
EWR,-5
EWR,6
LGA,-3
LGA,-3
DEN,36
DEN,0
LAS,-5
SNA,9
BWI,12
EWR,-1
PIT,0
ALB,0
PVD,1
PBI,-5
IND,-4
SAN,-2
LAS,-4
LAS,2
SFO,-6
SFO,-1
SFO,-8
AUS,-1
JFK,-4
DAL,-2
DTW,0
LAS,-11
LAS,-2
LAS,-8
MEM,-4
MSY,-1
ABQ,-1
PVD,-4
PVD,-3
RSW,-6
SAN,-5
HOU,2
MCO,-7
LAX,-1
SEA,0
BOS,9
ORD,14
ORD,0
CLE,-2
IAH,-9
MCO,-8
PHX,25
JFK,-5
JFK,1
DFW,63
LAX,-1
STL,-8
JFK,-5
SNA,7
TUL,41
DFW,78
IAD,-1
DFW,86
DFW,-3
JAC,-4
LAX,-1
DFW,-4
LAX,-3
DFW,128
DCA,-4
SEA,9
ORD,-3
ANC,-12
SEA,2
